 model_row            width        mean_elev            maxWT         mean_rch       max_WT_loc   west_index   east_index
       302         800.0000           0.9253           0.4796           0.4158         150.0000          184          199
       303         850.0000           0.7401           0.4809           0.4154         200.0000          184          200
       304         800.0000           0.9489           0.4798           0.4177         200.0000          185          200
       305         750.0000           1.0134           0.4788           0.4234         200.0000          186          200
       306         850.0000           0.8689           0.4802           0.4064         150.0000          184          200
       307         950.0000           0.8384           0.4821           0.3945         150.0000          182          200
       308        1050.0000           0.8171           0.4823           0.3893         150.0000          180          200
       309         900.0000           1.0066           0.4829           0.4106         200.0000          184          201
       310         950.0000           0.8890           0.4835           0.4044         200.0000          183          201
       311        1000.0000           0.9343           0.4822           0.3992         200.0000          182          201
       312        1000.0000           1.0031           0.4809           0.3983         150.0000          182          201
       313         850.0000           0.9669           0.4807           0.4144         150.0000          185          201
       314         950.0000           0.9712           0.4797           0.4012         150.0000          183          201
       315         900.0000           0.9734           0.4781           0.4100         200.0000          185          202
       316         750.0000           1.1092           0.4746           0.4248         200.0000          188          202
       317         700.0000           1.1140           0.4738           0.4260         150.0000          189          202
       318         600.0000           1.0338           0.4721           0.4361         150.0000          191          202
       319        1050.0000           0.6229           0.4707           0.3750         150.0000          182          202
       320        1050.0000           0.7641           0.4692           0.3713         150.0000          182          202
       321        1150.0000           0.7355           0.4683           0.3712         200.0000          181          203
       322        1200.0000           0.6660           0.4658           0.3684         200.0000          180          203
       323         850.0000           1.0207           0.4665           0.4018         200.0000          187          203
       324         850.0000           0.9409           0.4685           0.4019         200.0000          187          203
       325         600.0000           1.4125           0.4728           0.4389         150.0000          192          203
       326         650.0000           1.1510           0.4771           0.4302         150.0000          191          203
       327         800.0000           0.8832           0.4835           0.4147         200.0000          189          204
       328         850.0000           0.8111           0.4905           0.4088         200.0000          188          204
       329         900.0000           0.7755           0.4947           0.4044         200.0000          187          204
       330         850.0000           0.7714           0.4967           0.4136         200.0000          188          204
       331         850.0000           0.8733           0.4951           0.4200         150.0000          188          204
       332         900.0000           1.1486           0.4958           0.4225         200.0000          188          205
       333         900.0000           0.9578           0.4970           0.4236         200.0000          188          205
       334         850.0000           1.0724           0.4956           0.4276         200.0000          189          205
       335         850.0000           1.1472           0.4966           0.4257         200.0000          189          205
       336         850.0000           1.0047           0.5002           0.4216         200.0000          189          205
       337         850.0000           1.0399           0.5021           0.4172         200.0000          189          205
       338         900.0000           1.0080           0.5033           0.4175         250.0000          189          206
       339         900.0000           1.0773           0.5034           0.4175         200.0000          189          206
       340         900.0000           1.0154           0.5034           0.4163         200.0000          189          206
       341         900.0000           1.1638           0.5016           0.4138         200.0000          189          206
       342         900.0000           0.9980           0.5012           0.4124         200.0000          189          206
       343         950.0000           0.8875           0.5018           0.4120         200.0000          189          207
       344        1000.0000           0.9131           0.5035           0.4050         200.0000          188          207
       345        1000.0000           0.8172           0.5056           0.4048         200.0000          188          207
       346         950.0000           0.8831           0.5082           0.4074         200.0000          189          207
       347         650.0000           1.1679           0.5097           0.4569         200.0000          195          207
       348         750.0000           0.9785           0.5122           0.4474         250.0000          194          208
       349        1350.0000           0.6099           0.5113           0.3829         250.0000          182          208
       350         650.0000           1.2896           0.5106           0.4601         250.0000          196          208
       351         600.0000           1.2470           0.5104           0.4661         250.0000          197          208
       352        1150.0000           0.8024           0.5114           0.3903         200.0000          186          208
       353        1100.0000           0.7442           0.5147           0.3992         250.0000          188          209
       354         650.0000           0.9267           0.5150           0.4647         250.0000          197          209
       355         650.0000           0.8191           0.5140           0.4644         200.0000          197          209
       356         800.0000           0.9515           0.5124           0.4394         200.0000          194          209
       357         950.0000           0.8463           0.5100           0.4150         200.0000          191          209
       358        1250.0000           0.7211           0.5056           0.3923         250.0000          186          210
       359        1100.0000           0.7335           0.4991           0.4004         250.0000          189          210
       360         900.0000           0.9752           0.4948           0.4225         250.0000          193          210
       361         950.0000           0.9478           0.4924           0.4093         200.0000          192          210
       362        1200.0000           0.7873           0.4907           0.3831         200.0000          187          210
       363        1200.0000           0.9011           0.4896           0.3828         250.0000          188          211
       364        1200.0000           0.8230           0.4886           0.3794         250.0000          188          211
       365        1200.0000           0.8940           0.4874           0.3753         200.0000          188          211
       366        1550.0000           0.7935           0.4867           0.3522         200.0000          181          211
       367        1550.0000           0.7487           0.4857           0.3454         200.0000          181          211
       368        1600.0000           0.7393           0.4843           0.3432         250.0000          181          212
       369        1600.0000           0.6661           0.4822           0.3354         250.0000          181          212
       370        1450.0000           0.5905           0.4800           0.3355         200.0000          184          212
       371        1200.0000           0.8053           0.4772           0.3425         200.0000          189          212
       372        1200.0000           0.8876           0.4755           0.3412         200.0000          189          212
       373        1300.0000           0.7878           0.4742           0.3433         250.0000          188          213
       374        1650.0000           0.5952           0.4747           0.3295         200.0000          181          213
       375        1650.0000           0.5897           0.4754           0.3286         200.0000          181          213
       376        1600.0000           0.5984           0.4758           0.3256         200.0000          182          213
       377        1350.0000           0.6801           0.4755           0.3237         200.0000          187          213
       378        1400.0000           0.6608           0.4745           0.3235         250.0000          187          214
       379        1350.0000           0.7015           0.4749           0.3262         200.0000          188          214
       380        1600.0000           0.6613           0.4744           0.3243         200.0000          183          214
       381        1600.0000           0.6813           0.4731           0.3176         200.0000          183          214
       382        1600.0000           0.7017           0.4713           0.3115         200.0000          183          214
       383        1650.0000           0.6754           0.4696           0.3108         250.0000          183          215
       384        1650.0000           0.6670           0.4679           0.3071         250.0000          183          215
       385        1650.0000           0.6607           0.4661           0.3064         250.0000          183          215
       386        1650.0000           0.6448           0.4655           0.3066         200.0000          183          215
       387        1700.0000           0.6534           0.4647           0.3081         200.0000          182          215
       388        1700.0000           0.5906           0.4640           0.3108         200.0000          182          215
       389        1550.0000           0.6882           0.4636           0.3225         200.0000          186          216
       390        1400.0000           0.8478           0.4631           0.3295         200.0000          189          216
       391        1400.0000           0.9083           0.4614           0.3278         200.0000          189          216
       392        1400.0000           0.8757           0.4592           0.3241         200.0000          189          216
       393        1450.0000           0.8645           0.4561           0.3185         200.0000          188          216
       394        1500.0000           0.9093           0.4537           0.3179         200.0000          188          217
       395        1500.0000           0.9111           0.4541           0.3140         200.0000          188          217
       396        1450.0000           0.8910           0.4526           0.3140         200.0000          189          217
